Type,No.,Standard Price Including VAT,Offer Price Including VAT
Item,100-4,"3,285.00",690.00
Item,22-4073,378.00,245.00
Item,22-3604,365.00,273.00
Item,2-23,18.00,14.00
Item,1-176,"2,450.00","1,999.00"
Item,1-198,"2,550.00",990.00
Item,NC-AC10,"3,970.00","1,999.00"
Item,100-6,"1,645.00",345.00
Item,LCL-SH25,58.00,45.00
Item,22-4234,365.00,273.00
Item,1-177,"1,450.00",990.00
Item,1-228,"1,995.00",699.00
Item,10-212,25.00,8.00
Item,LCL-SH50,98.00,85.00
Item,1-182,"1,750.00",990.00
Item,1-235,"1,850.00",699.00
Item,10-213,12.00,4.00
Item,LCL-SHSD018,249.00,195.00
Item,1-188,"1,500.00",999.00
Item,1-225,"2,150.00",999.00
Item,10-219,40.00,12.00
Item,1-189,990.00,699.00
Item,1-113,495.00,173.00
Item,1-190,"2,650.00","1,699.00"
Item,11-14,60.00,21.00
Item,1-205,"3,882.00","2,990.00"
Item,22-3549,45.00,9.00
Item,1-114,520.00,182.00
Item,1-206,"3,185.00","2,599.00"
Item,BB8514,745.00,299.00
Item,11-224,37.00,8.00
Item,1-207,"4,750.00","2,999.00"
Item,ZB825,"12,265.00","7,999.00"
Item,11-252,35.00,8.00
Item,1-208,"4,950.00","2,999.00"
Item,ZB8484,"9,545.00","5,999.00"
Item,11-259,95.00,20.00
Item,1-215,"5,950.00","3,990.00"
Item,ZB8485,"12,500.00","7,999.00"
Item,11-260,112.00,24.00
Item,1-217,"6,000.00","4,299.00"
Item,22-2047,"1,125.00",599.00
Item,11-261,60.00,13.00
Item,1-221,"5,240.00","3,692.00"
Item,22-3418,763.00,399.00
Item,11-262,67.00,14.00
Item,1-222,"5,560.00","3,892.00"
Item,22-3419,985.00,499.00
Item,1-127,"1,015.00",599.00
Item,1-223,"5,584.00","3,692.00"
Item,22-3557,585.00,295.00
Item,11-305,285.00,60.00
Item,1-224,"6,560.00","4,999.00"
Item,22-3614,378.00,199.00
Item,11-321,70.00,15.00
Item,18-883,130.00,69.00
Item,22-2749,40.00,19.00
Item,11-326,15.00,4.00
Item,22-3745,145.00,99.00
Item,22-3174,138.00,49.00
Item,11-348,40.00,8.00
Item,22-2501,265.00,149.00
Item,22-3314,18.00,9.00
Item,11-352,20.00,4.00
Item,22-3176,198.00,129.00
Item,22-3315,20.00,11.00
Item,11-356,5.00,1.00
Item,BB8513,540.00,399.00
Item,22-3316,24.00,13.00
Item,11-358,22.00,5.00
Item,KOB8345,"1,610.00",899.00
Item,11-692,138.00,59.00
Item,11-360,22.00,5.00
Item,KOB8346,980.00,799.00
Item,11-720,148.00,49.00
Item,11-367,27.00,6.00
Item,KOB8405,"1,495.00",799.00
Item,22-4092,168.00,99.00
Item,11-368,55.00,12.00
Item,22-3571,48.00,29.00
Item,22-3370,135.00,49.00
Item,11-371,95.00,40.00
Item,22-3572,48.00,29.00
Item,22-3372,165.00,99.00
Item,11-376,25.00,6.00
Item,22-3775,34.00,15.00
Item,22-3951,76.00,39.00
Item,11-377,112.00,34.00
Item,22-3777,34.00,15.00
Item,22-2660,228.00,79.00
Item,11-378,15.00,4.00
Item,22-3876,64.00,29.00
Item,22-3085,228.00,79.00
Item,11-380,3.00,1.00
Item,30-19,186.00,94.00
Item,22-3773,695.00,199.00
Item,11-381,12.00,3.00
Item,30-23,184.00,92.00
Item,22-2052,185.00,69.00
Item,11-382,27.00,6.00
Item,30-37,379.00,192.00
Item,22-2980,178.00,129.00
Item,11-385,32.00,7.00
Item,30-38,379.00,192.00
Item,22-4001,185.00,89.00
Item,11-388,40.00,8.00
Item,30-45,317.00,157.00
Item,22-4002,185.00,89.00
Item,11-393,27.00,6.00
Item,30-46,317.00,157.00
Item,22-4003,185.00,89.00
Item,11-394,27.00,6.00
Item,30-52,148.00,75.00
Item,22-4005,185.00,89.00
Item,11-398,25.00,6.00
Item,30-62,528.00,263.00
Item,22-4007,228.00,99.00
Item,11-399,15.00,4.00
Item,30-63,528.00,263.00
Item,22-4008,228.00,99.00
Item,11-407,12.00,3.00
Item,30-64,528.00,263.00
Item,22-4009,228.00,99.00
Item,11-409,110.00,23.00
