SKU,Part#,DESC EN,img links
10-219,31110000000170,FOLCON GLOVES,https://i.ibb.co/tDTbPYH/20230219-150710.jpg
1-100,6110013-BS13,GAMO BLACK SHADOW 4.5 CAL,https://alrimaya.com/image/cache/catalog/SKU:%201-/1-100-800x800.png
1-101,6110009-FO13,GAMO FOREST 4.5 CAL,https://alrimaya.com/image/cache/catalog/SKU:%201-/1-101-800x800.png
1-111,61100105513,GAMO MAXIMA 5.5 CAL,https://www.gamo.com/wp-content/uploads/2021/12/HUNTER-MAXXIM-IGT-ref-611005655-MIGT-1.jpg
1-117,31101000000087,AIRRIFLE MOD 55S TR CAL 4.5,https://alrimaya.com/image/catalog/SKU:%201-/1-117%D8%A8%D9%86%D8%AF%D9%82%D9%8A%D8%A9.png
1-118,31101000000088,AIRRIFLE MOD 85 CAL 4.5,https://alrimaya.com/image/catalog/SKU:%201-/1-118%D8%A8%D9%86%D8%AF%D9%82%D9%8A%D8%A9.png
1-120,31101000000090,AIRRIFLE MOD 95 CAL 4.5,https://alrimaya.com/image/catalog/SKU:%201-/1-120%D8%A8%D9%86%D8%AF%D9%82%D9%8A%D8%A9.png
11-224,31111000000133,X5MT-WT,https://alrimaya.com/image/cache/catalog/product/2383/11-224%20(3)-2383-thumb-800x800.jpg
11-236,31111000000145,X1MT-WB / WT  Led Spotlight  INOVA,https://www.travers.com/media/catalog/product/9/9/99-002-620_08-03-18.jpg?optimize=medium&fit=bounds&height=&width=&canvas=:
11-252,31111000000161,XOMT-WB/WT  Spotlight,https://i.ibb.co/s3g3J5H/11-252-Large.jpg
11-259,31111000000168,XO3MT - WT / WB,https://www.police.com.tw/inova/xo3-800-2.jpg
11-260,31111000000169,T1-WB White Led Black Case (671192-22005-9),https://alrimaya.com/image/catalog/11-12-13-14/1.png
11-261,31111000000170,T2-WB White Led Black Case (671192-22020-2),https://alrimaya.com/image/catalog/11-12-13-14/11-261-(20).png
11-262,31111000000171,T3-WB White Led Black Case (671192-22010-3),https://alrimaya.com/image/cache/catalog/11-12-13-14/11-262%20(10)%20%D9%83%D8%B4%D8%A7%D9%81%20%D8%B1%D8%A3%D8%B3%20-800x800.png
1-127,31101000000097,GAMO SHADOW IGT 4.5 CAL,https://www.gamo.com/wp-content/uploads/2020/05/61100295-IGT.jpg
11-305,31111000000214,T 4 BLACK,https://www.elfadistrelec.no/Web/WebShopImages/landscape_large/8_/v2/INOVA-T4RC-01-R8_V2.jpg
11-306,31111000000215,CB-W,https://i.ebayimg.com/images/g/s-MAAOSw4UtWRfwj/s-l500.jpg
1-131,31101000000101,AIR RIFLE MOD 90TR(CAL 4.5),https://alrimaya.com/image/catalog/SKU:%201-/1-131%D8%A8%D9%86%D8%AF%D9%82%D9%8A%D8%A9.png
11-323,31111000000232,R2C-T Carbon Fiber Balck/Titanium Head,https://www.copsplus.com/products/large/mi-r2c-t.jpg
11-324,31111000000233,"T5 Black Knurled Handle, white led(671192-22015-8)",https://i.ibb.co/Rv99G2r/11-324-1-Large.jpg
11-326,31111000000235,R2A-T Carbon Fiber Balck/Titanium Head,https://i.ibb.co/6yK97Pz/11-326-2-Large.jpg
1-135,31101000000105,AIR RIFLE BT65 SB FIBER (CAL 4.5),https://alrimaya.com/image/catalog/product/1542/1-135-(2)-1542-thumb.jpg
11-350,31111000000259,CAMP LIGHT,https://i.ibb.co/M2gYsZy/11-350-3-Large.jpg
11-358,31111000000265,HEAD LIGHT GREEN -CREE-AAA,https://alrimaya.com/image/cache/catalog/11-12-13-14/11-358%20%20(1)%D9%83%D8%B4%D8%A7%D9%81%20%D8%B1%D8%A3%D8%B3%20-800x800.png
1-136,6110052-FO13,GAMO DELTA FOREST 4.5 CAL,https://alrimaya.com/image/catalog/SKU:%201-/1-136.png
11-360,31111000000266,HEAD LIGHT BLACK-CREE-AAA,https://alrimaya.com/image/cache/catalog/11-12-13-14/11-360%20(10)%20%D9%83%D8%B4%D8%A7%D9%81%20%D9%83%D8%A8%D8%B3-800x800.png
11-362,31111000000271,RECHARGEABLE 35W HID SPOTLIGHT WITH AC &DC CHARGER,https://alrimaya.com/image/cache/catalog/11-12-13-14/11-362%20(5)%D9%83%D8%B4%D8%A7%D9%81%20-800x800.png
11-367,31111000000276,EMISSIVE BOLT3A FLASH LIGHT BLT34,https://alrimaya.com/image/cache/catalog/11-12-13-14/11-367%20%D9%83%D8%B4%D8%A7%D9%81%20%D8%A5%D9%86%D9%88%D9%81%D8%A7%20(4)-800x800.png
11-368,31111000000277,EMISSIVE BOLT 2A FLASH LIGHT BLT2A,https://alrimaya.com/image/cache/catalog/product-11-12-13-14/11-368%20(4)-800x800.png
1-137,31101000000107,HUNTER IGT CAL-4.5,https://www.afg-defense.eu/sub/afg.sk/shop/product/vzduchovka-gamo-hunter-se-igt-kal.45mm-2151.jpg.webp?1658232619&1658232619
