STORE C,Name,English Name,Store,Short Name,Region,Store Type
ABDG01,مستودع نواقص وتوالف (أبها),Shorts and Damages Warehouse (Abha),Shorts and Damages Warehouse (Abha),Damages & Shortages ABHA,Damage WH,Warehouse
ABST01,معرض الخالدية - أبها,Abha Alkhaldiah - Store,Abha Alkhaldiah - Store,Abha,South,Store
ABWH01,المستودع الفرعي - أبها,Sub Warehouse - Abha,Sub Warehouse - Abha,Abha WH,Warehouse,Warehouse
BGST01,معرض بلجرشي,Beljarshi Store,Beljarshi Store,Baljuraishi,South,Store
BSST01,معرض بيشة,Bisha Showroom,Bisha Store,Bisha,South,Store
DMST01,معرض الدمام 1,Dammam Showroom 1,Dammam Store 1,Dammam 1,East,Store
DMST02,معرض الدمام 2,Dammam Showroom 2,Dammam Store 2,Dammam 2,East,Store
DMWS01,مركز صيانة  4×4 الدمام,4x4 Dammam Workshop,Dammam 4x4 Center,Dammam 4x,East,Workshop
DWST01,معرض الدوادمي,Dawadmi Showroom,Al Duwadimi Store,Dawadmi,North,Store
ECST01,الرماية.كوم,Al Rimaya.com,Alrimaya.com,Alrimaya.com,Al Rimaya Online,Online
ECST02,متجر امازون الالكتروني,Amazon E-Market,Amazon E-Market,Amazon,3P Online,3P
ECST03,نون للتسوق الالكتروني,Noon E-Market,NOON E-Market,Noon,3P Online,3P
ECST04,متجر كارفور - فرع غرناطة,Carfour Shop - Garnata Mall,Carfour Shop - Garnata Mall,Carfour Shop - Garnata Mall,Carrefour,Carrefour
ECST05,متجر السدحان,Sadhan Store,Sadhan Store,Sadhan,Sadhan,3P
ECST06,فورديل للتسوق الإلكتروني,Fordeal E-Market,Fordeal E-Marketing,Fordeal,3P Online,3P
ECST07,كارفور فلامنجو مول -  الرياض,Carrefour Flamingo Mall Riyadh,Carrefour Flamingo Mall Riyadh,Carrefour Flamingo Mall Riyadh,Carrefour,Carrefour
ECST08,كارفور الخيمة مول-  الرياض,Carrefour Al Khaima Mall Riyadh,Carrefour Al Khaima Mall Riyadh,Carrefour Al Khaima Mall Riyadh,Carrefour,Carrefour
ECST09,كارفور القصر مول-  الرياض,Carrefour Qasr Mall Riyadh,Carrefour Qasr Mall Riyadh,Carrefour Qasr Mall Riyadh,Carrefour,Carrefour
ECST10,كارفور الرياض بارك مول-  الريا,Carrefour Riyadh Park Riyadh,Carrefour Riyadh Park Riyadh,Carrefour Riyadh Park Riyadh,Carrefour,Carrefour
ECST11,كارفور تالا مول-  الرياض,Carrefour Tala Mall Riyadh,Carrefour Tala Mall Riyadh,Carrefour Tala Mall Riyadh,Carrefour,Carrefour
ECST12,كارفور سندس مول-  الرياض,Carrefour Sondos Riyadh,Carrefour Sondos Riyadh,Carrefour Sondos Riyadh,Carrefour,Carrefour
ECST13,كارفور الشاطئ مول-  الدمام,Carrefour Shatea Mall Dammam,Carrefour Shatea Mall Dammam,Carrefour Shatea Mall Dammam,Carrefour,Carrefour
ECST14,كارفور ويست افينيو مول-  الدما,Carrefour West Avenue Mall Dammam,Carrefour West Avenue Mall Dammam,Carrefour West Avenue Mall Dammam,Carrefour,Carrefour
